Anything										ili	synset	sem_class	hypernym, hypernym tree	hypernym, hypernym tree	hypernym, hypernym tree	Бележки - вкл. при две, кое е по-вероятно 		Цвети	Валя	Различно решение, ако има	ili на съотнесеното
					Dust					eng-30-14840092-n	n: dust:6; n: dust:5	noun.substance	n: dust:6 < n: material:11; stuff:14 < n: substance:1	n: dust:5 < n: particulate:2; particulate matter:1 < n: material:11; stuff:14 < n: substance:1		n: dust:6; n: dust:5		n: dust:6; n: dust:5	n: dust:6		eng-30-14840092-n
					Soil					eng-30-14844693-n	n: soil:5; dirt:4	noun.substance	n: earth:8; ground:23 < n: material:11; stuff:14 < n: substance:1					n: soil:5; dirt:4	n: soil:5; dirt:4		eng-30-14844693-n
				Blemish						eng-30-04694441-n; eng-30-04695176-n	n: smudge:2; spot:13; blot:4; daub:5; smear:6; smirch:4; slur:5; n: stain:6; discoloration:2; discolouration:2	noun.attribute (smudge:2; stain:6)	n: smudge:2; spot:13; blot:4; daub:5; smear:6; smirch:4; slur:5 < n: blemish:4; defect:2; mar:3 < n: appearance:4; visual aspect:1 < n: quality:3 < n: attribute:1 < n: abstraction:1; abstract entity:1	n: stain:6; discoloration:2; discolouration:2 < n: appearance:4; visual aspect:1 < n: quality:3 < n: attribute:1 < n: abstraction:1; abstract entity:1		???		n: smudge:2; spot:13; blot:4; daub:5; smear:6; smirch:4; slur:5; n: stain:6; discoloration:2; discolouration:2	n: blemish:4; defect:2; mar:3		eng-30-04694441-n; eng-30-04695176-n; eng-30-04692157-n
				Structure						eng-30-04341686-n; eng-30-02913152-n	n: structure:2; construction:4	noun.artifact	n: artifact:1; artefact:1					n: structure:2; construction:4	n: structure:2; construction:4		eng-30-04341686-n; eng-30-02913152-n
			Plant							eng-30-00017222-n	n: plant:1; flora:1; plant life:1	noun.plant	n: organism:1; being:1 < n: living thing:1; animate thing:1 < n: whole:1; unit:1 < n: object:1; physical object:1					n: plant:1; flora:1; plant life:1	n: plant:1; flora:1; plant life:1		eng-30-00017222-n
				Tree						eng-30-13103136-n	n: woody plant:1; ligneous plant:1	noun.plant	n: vascular plant:1; tracheophyte:1 < n: plant:1; flora:1; plant life:1			n: tree:5 < n: woody plant:1; ligneous plant:1 < n: vascular plant:1; tracheophyte:1 < n: plant:1; flora:1; plant life:1		n: woody plant:1; ligneous plant:1	n: tree:5		eng-30-13103136-n; eng-30-13104059-n
		Particle								eng-30-09386422-n; eng-30-14585519-n	n: particle:2; subatomic particle:1; n: atom:1; molecule:1; particle:3; corpuscle:2; mote:1; speck:4	noun.object; noun.substance	n: particle:2; subatomic particle:1 < n: body:12 < n: natural object:1 < n: whole:1; unit:1 < ...	n: atom:1; molecule:1; particle:3; corpuscle:2; mote:1; speck:4 < n: material:11; stuff:14 < n: substance:1		n: particle:2; subatomic particle:1; n: atom:1; molecule:1; particle:3; corpuscle:2; mote:1; speck:4		n: particle:2; subatomic particle:1; n: atom:1; molecule:1; particle:3; corpuscle:2; mote:1; speck:4	n: particle:2; subatomic particle:1		eng-30-09386422-n; eng-30-14585519-n
		Self								eng-30-09604981-n; eng-30-05675601-n	n: self:3; n: self:2; ego:2	noun.person; noun.cognition	n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 + n: causal agent:1; cause:1; causal agency:1 < ... < n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 + n: causal agent:1; cause:1; causal agency:1 < ... < n: physical entity:1	n: consciousness:1 < n: cognitive state:1; state of mind:1 < n: psychological state:1; psychological condition:1; mental state:1; mental condition:1 < n: condition:11; status:1 < n: state:1 < n: attribute:1 < n: abstraction:1; abstract entity:1				n: self:3; n: self:2; ego:2	n: self:3		eng-30-09604981-n; eng-30-05675601-n
																					
	Eventuality										n: event:1		n: psychological feature:1 < n: abstraction:1; abstract entity:1			n: eventuality:1; contingency:1; contingence:1 < n: happening:1; occurrence:1; occurrent:2; natural event:1 < n: event:1 < hypernym: en - n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: event:1	n: eventuality:1; contingency:1; contingence:1	n: event:1	eng-30-00029378-n; 
		Event								eng-30-00029378-n	n: event:1	noun.Tops	n: psychological feature:1 < n: abstraction:1; abstract entity:1			n: event:1 < hypernym: en - n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: event:1	n: event:1		eng-30-00029378-n
			Activity							eng-30-00030358-n	n: act:3; deed:1; human action:1; human activity:1	noun.act	n: event:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1			n: activity:1 < n: act:3; deed:1; human action:1; human activity:1 < n: event:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: act:3; deed:1; human action:1; human activity:1	n: activity:1		eng-30-00030358-n; eng-30-00407535-n
				Action						eng-30-00037396-n; eng-30-00407535-n	n: action:1; n: activity:1	noun.act	n: act:3; deed:1; human action:1; human activity:1	n: act:3; deed:1; human action:1; human activity:1				n: action:1; n: activity:1	n: action:1; n: activity:1		eng-30-00037396-n; eng-30-00407535-n
					Decision					eng-30-00162632-n	n: decision:1; determination:2; conclusion:1	noun.act	n: decision:1; determination:2; conclusion:1 < n: choice:1; selection:1; option:1; pick:1 < n: action:1					n: decision:1; determination:2; conclusion:1	n: decision:1; determination:2; conclusion:1		eng-30-00162632-n
				Performance						eng-30-00550771-n; eng-30-06891493-n	 n: performance:3; n: performance:4; public presentation:1	noun.act; noun.communication	n: performance:3 < n: presentation:1; presentment:1; demonstration:1 < n: show:1 < n: entertainment:1; amusement:1 < n: diversion:2; recreation:2 < n: activity:1 < n: act:3; deed:1; human action:1; human activity:1; 	n: performance:4; public presentation:1 < n: show:15 < n: social event:1 < n: event:1				 n: performance:3; n: performance:4; public presentation:1	 n: performance:3		eng-30-00550771-n; eng-30-06891493-n
					Broadcast					eng-30-06619428-n	n: broadcast:5; program:8; programme:7	noun.communication						n: broadcast:5; program:8; programme:7	n: broadcast:5; program:8; programme:7		eng-30-06619428-n
					Movie					eng-30-06613686-n	n: movie:1; film:7; picture:9; moving picture:1; moving-picture show:1; motion picture:1; motion-picture show:1; picture show:1; pic:2; flick:10	noun.communication	n: product:2; production:5 + n: show:15					n: movie:1; film:7; picture:9; moving picture:1; moving-picture show:1; motion picture:1; motion-picture show:1; picture show:1; pic:2; flick:10	n: movie:1; film:7; picture:9; moving picture:1; moving-picture show:1; motion picture:1; motion-picture show:1; picture show:1; pic:2; flick:10		eng-30-06613686-n
					Musical_Performance											n: musical performance:1 {noun.act} < n: performance:3 {noun.act} < n: presentation:1; presentment:1; demonstration:1 < n: show:1 < ... < n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: musical performance:1	n: musical performance:1		eng-30-00100253-n
					Radio_Program											n: radio:3; wireless:2 {noun.artifact} < n: communication system:2 < n: system:1 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1		n: radio broadcast:1	n: radio:3; wireless:2 		eng-30-06622366-n; eng-30-04041544-n
					TV_Program											n: television receiver:1; television:2; television set:1; tv:1; tv set:1; idiot box:1; boob tube:1; telly:1; goggle box:1 {noun.artifact} < n: receiver:1; receiving system:1 < ... < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1		n: television program:1; TV program:1; television show:1; TV show:1	n: television program:1; TV program:1; television show:1; TV show:1		eng-30-06620579-n
					Theatrical_Performance											n: theatrical performance:1; theatrical:3; representation:7; histrionics:1 {noun.communication} < n: performance:4; public presentation:1 < ... < n: psychological feature:1 < n: abstraction:1; abstract entity:1 		n: theatrical performance:1; theatrical:3; representation:7; histrionics:1	n: theatrical performance:1; theatrical:3; representation:7; histrionics:1		eng-30-06893885-n
				Speech_Act						eng-30-07160883-n	n: speech act:1	noun.communication	n: speech act:1 < n: act:3; deed:1; human action:1; human activity:1					n: speech act:1	n: speech act:1		eng-30-07160883-n
					Agreement					eng-30-07175241-n	n: agreement:4	noun.communication	n: speech act:1					n: agreement:4	n: agreement:4		eng-30-07175241-n
					Command					eng-30-07168131-n	n: command:10; bid:10; bidding:2; dictation:3	noun.communication	n: speech act:1					n: command:10; bid:10; bidding:2; dictation:3	n: command:10; bid:10; bidding:2; dictation:3		eng-30-07168131-n
					Offer					eng-30-07185076-n	n: offer:16; offering:3	noun.communication	n: speech act:1					n: offer:16; offering:3	n: offer:16; offering:3		eng-30-07185076-n
					Question					eng-30-07193184-n	n: questioning:4; inquiring:2	noun.communication	n: request:5; asking:1 > n: speech act:1					n: questioning:4; inquiring:2	n: questioning:4; inquiring:2		eng-30-07193184-n
					Request					eng-30-07185325-n	n: request:5; asking:1	noun.communication	n: speech act:1					n: request:5; asking:1	n: request:5; asking:1		eng-30-07185325-n
				Investigation						eng-30-00633864-n; eng-30-05800611-n	n: investigation:1; investigating:1; n: probe:6; investigation:2	noun.act, noun.cognition	n: investigation:1; investigating:1 < n: work:5 < n: activity:1 < n: act:3; deed:1; human action:1; human activity:1	n: probe:6; investigation:2 < n: inquiry:2; enquiry:2; research:4 < n: problem solving:1 <  n: thinking:2; thought:1; thought process:1; cerebration:1; intellection:1; mentation:1 < n: higher cognitive process:1 < n: process:11; cognitive process:1; mental process:1; operation:8; cognitive operation:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: investigation:1; investigating:1		n: investigation:1; investigating:1; n: probe:6; investigation:2	n: investigation:1; investigating:1		eng-30-00633864-n; eng-30-05800611-n
				Mental_Activity						eng-30-05770926-n; eng-30-00927261-n	n: thinking:2; thought:1; thought process:1; cerebration:1; intellection:1; mentation:1; n: creating by mental acts:1	noun.cognition; noun.act	n: thinking:2; thought:1; thought process:1; cerebration:1; intellection:1; mentation:1 < n: higher cognitive process:1 < n: process:11; cognitive process:1; mental process:1; operation:8; cognitive operation:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1	n: creating by mental acts:1 < n: creation:2; creative activity:1 < n: activity:1		n: creating by mental acts:1		n: thinking:2; thought:1; thought process:1; cerebration:1; intellection:1; mentation:1; n: creating by mental acts:1	n: thinking:2; thought:1; thought process:1; cerebration:1; intellection:1; mentation:1; n: creating by mental acts:1		eng-30-05770926-n; eng-30-00927261-n
				Plan						eng-30-00928371-n; eng-30-01144133-n	n: planning:1; n: planning:2	noun.act	n: planning:1 < n: design:3; designing:2 < n: creating by mental acts:1 < < n: creation:2; creative activity:1 < n: activity:1	n: planning:2 < n: preparation:4; readying:1 < n: activity:1				n: planning:2	n: planning:1		eng-30-00928371-n; eng-30-01144133-n
			Process							eng-30-00029677-n	n: process:1; physical process:1	noun.process	n: physical entity:1					n: process:1; physical process:1	n: process:1; physical process:1		eng-30-00029677-n
				Weather_Event						eng-30-11524662-n; eng-30-11425580-n	n: weather:6; weather condition:1; conditions:1; atmospheric condition:1;  n: atmospheric phenomenon:1	noun.phenomenon	 n: weather:6; weather condition:1; conditions:1; atmospheric condition:1 < n: atmospheric phenomenon:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1	n: atmospheric phenomenon:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1		atmospheric condition:1; n: atmospheric phenomenon:1		n: weather:6; weather condition:1; conditions:1; atmospheric condition:1;  n: atmospheric phenomenon:1	n: weather:6; weather condition:1; conditions:1; atmospheric condition:1;  n: atmospheric phenomenon:1		eng-30-11524662-n; eng-30-11425580-n
					Wind					eng-30-11525955-n	n: wind:15; air current:1; current of air:1	noun.phenomenon	n: weather:6; weather condition:1; conditions:1; atmospheric condition:1;					n: wind:15; air current:1; current of air:1	n: wind:15; air current:1; current of air:1		eng-30-11525955-n
						Storm				eng-30-11462526-n	n: storm:7; violent storm:1	noun.phenomenon	n: atmospheric phenomenon:1					n: storm:7; violent storm:1	n: storm:7; violent storm:1		eng-30-11462526-n
					Precipitation					eng-30-11494638-n	n: precipitation:4; downfall:3	noun.phenomenon	n: weather:6; weather condition:1; conditions:1; atmospheric condition:1;					n: precipitation:4; downfall:3	n: precipitation:4; downfall:3		eng-30-11494638-n
				Disease						eng-30-13533470-n	n: pathologic process:1; pathological process:1	noun.process	n: organic process:1; biological process:1 < n: process:1; physical process:1					n: pathologic process:1; pathological process:1	n: pathologic process:1; pathological process:1		eng-30-13533470-n
				Explosion						eng-30-13450206-n	n: combustion:2; burning:6	noun.process	n: oxidation:1; oxidization:1; oxidisation:1 < n: chemical reaction:1; reaction:7 < n: chemical process:1; chemical change:1; chemical action:1 < n: natural process:1; natural action:1; action:11; activity:4 < n: process:1; physical process:1					n: combustion:2; burning:6	n: combustion:2; burning:6		eng-30-13450206-n
				Fire						eng-30-13450206-n; eng-30-07302836-n	n: combustion:2; burning:6; n: fire:13	noun.process; noun.event	n: oxidation:1; oxidization:1; oxidisation:1 < n: chemical reaction:1; reaction:7 < n: chemical process:1; chemical change:1; chemical action:1 < n: natural process:1; natural action:1; action:11; activity:4 < n: process:1; physical process:1	n: fire:13 < n: happening:1; occurrence:1; occurrent:2; natural event:1 < n: event:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: combustion:2; burning:6		n: combustion:2; burning:6; n: fire:13	n: combustion:2; burning:6; n: fire:13		eng-30-13450206-n; eng-30-07302836-n
				Procedure						eng-30-01023820-n; eng-30-00577068-n	n: procedure:3; process:4; n: operation:3; procedure:1	noun.act	 n: activity:1	n: operation:3; procedure:1 < n: work:5 < n: activity:1				n: procedure:3; process:4; n: operation:3; procedure:1	n: procedure:3; process:4; n: operation:3; procedure:1		eng-30-01023820-n; eng-30-00577068-n
				Radiation						eng-30-13545184-n; eng-30-01252918-n	n: radiation:6; radioactivity:1; n: radiation:2	noun.process, noun.act	n: radiation:6; radioactivity:1 < n: emission:4 < n: release:22 < n: natural process:1; natural action:1; action:11; activity:4	n: radiation:2 < hypernym: en - n: emission:1; emanation:1 < n: egress:1; egression:1; emergence:1 <  n: act:3; deed:1; human action:1; human activity:1 < n: event:1		n: radiation:6; radioactivity:1; n: radiation:2		n: radiation:6; radioactivity:1; n: radiation:2	n: radiation:6; radioactivity:1; n: radiation:2		eng-30-13545184-n; eng-30-01252918-n
				Wave						eng-30-00346095-n; eng-30-07345593-n	n: wave:2; n: wave:9; undulation:1	nooun.act; noun.event	n: motion:2; movement:3; move:7; motility:1 < n: change:7 < n: action:1 < n: act:3; deed:1; human action:1; human activity:1	n: movement:8; motion:6 < n: happening:1; occurrence:1; occurrent:2; natural event:1 < n: event:1		n: wave:2		n: wave:2; n: wave:9; undulation:1	n: wave:2; n: wave:9; undulation:1		eng-30-00346095-n; eng-30-07345593-n
		State_Of_Affairs								eng-30-00024720-n	n: state:1	noun.state	n: attribute:1 < n: abstraction:1; abstract entity:1					n: state:1	n: state:1		eng-30-00024720-n
			System							eng-30-04768657-n	n: organization:4; organisation:4; system:2	noun.attribute	< n: orderliness:1; methodicalness:1 < n: regularity:1 < n: quality:3					n: organization:4; organisation:4; system:2	n: organization:4; organisation:4; system:2		eng-30-04768657-n
				Currency						eng-30-13385913-n	n: currency:3	noun.possession	n: medium of exchange:1; monetary system:1 <  n: standard:9; criterion:2; measure:13; touchstone:1 < n: system of measurement:1; metric:3 < n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1					n: currency:3	n: currency:3		eng-30-13385913-n
			Illness							eng-30-14051917-n	n: pathological state:1	noun.state	n: physical condition:1; physiological state:1; physiological condition:1 < n: condition:11; status:1 < n: state:1					n: pathological state:1	n: pathological state:1		eng-30-14051917-n
			Relationship							eng-30-13928668-n	n: relationship:4	noun.state	state:1					n: relationship:4	n: relationship:4		eng-30-13928668-n
			Temperature							eng-30-05011790-n	n: temperature:1	noun.attribute	n: physical property:1 < n: property:2 < n: attribute:1 < n: abstraction:1; abstract entity:1					n: temperature:1	n: temperature:1		eng-30-05011790-n
																					
	Group									eng-30-00031264-n	n: group:1; grouping:1	noun.group	n: abstraction:1; abstract entity:1					n: group:1; grouping:1	n: group:1; grouping:1		eng-30-00031264-n
		Human_Group								eng-30-07950920-n + eng-30-02472987-n + eng-30-07942152-n + eng-30-07967982-n + eng-30-08160276-n	n: social group:1 + n: world:2; human race:1; humanity:1; humankind:1; human beings:1; humans:1; mankind:1; man:4 + n: people:3 + n: race:8 + n: citizenry:1; people:5	noun.group	n: group:1; grouping:1					n: social group:1 + n: world:2; human race:1; humanity:1; humankind:1; human beings:1; humans:1; mankind:1; man:4 + n: people:3 + n: race:8 + n: citizenry:1; people:5	n: social group:1 + n: world:2; human race:1; humanity:1; humankind:1; human beings:1; humans:1; mankind:1; man:4 + n: people:3 + n: race:8 + n: citizenry:1; people:5		eng-30-07950920-n; eng-30-02472987-n; eng-30-07942152-n; eng-30-07967982-n; eng-30-08160276-n
			Institution							eng-30-08008335-n	n: organization:6; organisation:6	noun.group	n: social group:1			n: institution:5; establishment:4 {noun.group} < n: organization:6; organisation:6 {noun.group} < n: social group:1 {noun.group} < n: group:1; grouping:1		n: organization:6; organisation:6	n: institution:5; establishment:4 {noun.group} < n: organization:6; organisation:6 {noun.group} < n: social group:1 {noun.group} < n: group:1; grouping:1	n: organization:6; organisation:6	eng-30-08008335-n
				Business_Enterprise						eng-30-08056231-n	n: enterprise:3	noun.group	n: organization:6; organisation:6					n: enterprise:3	n: enterprise:3		eng-30-08056231-n
				Self						eng-30-09604981-n	n: self:3	n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1						n: self:3	n: self:3		eng-30-09604981-n
		Vehicle_Group																			
			Water_Vehicle_Group																		
		Animal_Group								eng-30-07993929-n	n: animal group:1	noun.group	n: biological group:1 < n: group:1; grouping:1			hyponyms of biological group		n: animal group:1	n: animal group:1		eng-30-07993929-n
		Physical_Object_Group								eng-30-07938773-n; eng-30-07940448-n; eng-30-07951464-n; eng-30-07990377-n	n: arrangement:6; n: kingdom:1; n: collection:4; aggregation:2; accumulation:2; assemblage:3; n: association:3	noun.group	< n: group:1; grouping:1			all hyponyms of group		n: arrangement:6; n: kingdom:1; n: collection:4; aggregation:2; accumulation:2; assemblage:3; n: association:3	n: arrangement:6; n: kingdom:1; n: collection:4; aggregation:2; accumulation:2; assemblage:3; n: association:3		eng-30-07938773-n; eng-30-07940448-n; eng-30-07951464-n; eng-30-07990377-n
																					
	Part									eng-30-03892891-n; eng-30-13809207-n	n: part:9; portion:3; n: part:18; portion:7; component part:1; component:3; constituent:6	noun.artifact; noun.relation	n: object:1; physical object:1; n: abstraction:1; abstract entity:1					n: part:9; portion:3; n: part:18; portion:7; component part:1; component:3; constituent:6	n: part:9; portion:3; n: part:18; portion:7; component part:1; component:3; constituent:6		eng-30-03892891-n; eng-30-13809207-n
		Language_Part								eng-30-06284225-n	n: language unit:1; linguistic unit:1	noun.communication	n: part:18; portion:7; component part:1; component:3; constituent:6 < n: relation:1 < n: abstraction:1; abstract entity:1					n: language unit:1; linguistic unit:1	n: language unit:1; linguistic unit:1		eng-30-06284225-n
			Name							eng-30-06333653-n	n: name:11	noun.communication	n: language unit:1; linguistic unit:1					n: name:11	n: name:11		eng-30-06333653-n
			Phrase							eng-30-06316048-n	n: phrase:4	noun.communication	n: construction:6; grammatical construction:1; expression:3 < n: constituent:4; grammatical constituent:1 < n: syntagma:1; syntagm:1 < n: string of words:1; word string:1; linguistic string:1 < n: language:3; linguistic communication:1 + n: string:14 < n: sequence:7 < n: series:5 < n: ordering:2; order:21; ordination:2 < n: arrangement:6 < n: group:1; grouping:1 < n: abstraction:1; abstract entity:1					n: phrase:4	n: phrase:4		eng-30-06316048-n
			Word							eng-30-06286395-n	n: word:2	noun.communication	n: language unit:1; linguistic unit:1					n: word:2	n: word:2		eng-30-06286395-n
		Music_Part										noun.communication									
			Chord							eng-30-06869951-n	n: chord:3	noun.communication	n: note:9; musical note:1; tone:12 < n: musical notation:1 < n: notation:3; notational system:1 < n: writing:3 < n: written communication:1; written language:1; black and white:3 < communication:1 < abstraction:1; abstract entity:1					n: chord:3	n: chord:3		eng-30-06869951-n
			Tone							eng-30-06865345-n	n: note:9; musical note:1; tone:12		n: musical notation:1 < n: notation:3; notational system:1 < n: writing:3 < n: written communication:1; written language:1; black and white:3 < communication:1 < abstraction:1; abstract entity:1					n: note:9; musical note:1; tone:12	n: note:9; musical note:1; tone:12		eng-30-06865345-n
		Physical_Object_Part								eng-30-09385911-n	n: part:16; piece:16	noun.object	n: thing:1 < n: physical entity:1					n: part:16; piece:16	n: part:16; piece:16		eng-30-09385911-n
			Body							eng-30-05216365-n; eng-30-05217168-n; eng-30-05549830-n	n: body:6; organic structure:1; physical structure:1; n: human body:1; physical body:1; material body:1; soma:1; build:12; figure:11; physique:2; anatomy:2; shape:7; bod:1; chassis:3; frame:12; form:15; flesh:2; n: torso:1; trunk:4; body:8	noun.body	n: natural object:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	n: body:6; organic structure:1; physical structure:1 	n: body part:1 < n: part:16; piece:16 < n: thing:1 < n: physical entity:1	all		n: body:6; organic structure:1; physical structure:1; n: human body:1; physical body:1; material body:1; soma:1; build:12; figure:11; physique:2; anatomy:2; shape:7; bod:1; chassis:3; frame:12; form:15; flesh:2; n: torso:1; trunk:4; body:8	n: body:6; organic structure:1; physical structure:1; n: human body:1; physical body:1; material body:1; soma:1; build:12; figure:11; physique:2; anatomy:2; shape:7; bod:1; chassis:3; frame:12; form:15; flesh:2; n: torso:1; trunk:4; body:8		eng-30-05216365-n; eng-30-05217168-n; eng-30-05549830-n
				Body_part						eng-30-05220461-n	 n: body part:1	noun.body	n: part:16; piece:16 < n: thing:1 < n: physical entity:1					 n: body part:1	 n: body part:1		eng-30-05220461-n
					Foot					eng-30-02153445-n; eng-30-02322213-n; eng-30-05563266-n	n: animal foot:1; foot:4; n: foot:6; invertebrate foot:1; n: foot:9; human foot:1; pes:1	noun.animal; noun.body	n: vertebrate foot:1; pedal extremity:1 < n: extremity:2 < n: external body part:1 < n: body part:1	n: foot:6; invertebrate foot:1 < n: organ:4 < n: body part:1	n: vertebrate foot:1; pedal extremity:1 < n: extremity:2 < n: external body part:1 < n: body part:1	al		n: animal foot:1; foot:4; n: foot:6; invertebrate foot:1; n: foot:9; human foot:1; pes:1	n: animal foot:1; foot:4; n: foot:6; invertebrate foot:1; n: foot:9; human foot:1; pes:1		eng-30-02153445-n; eng-30-02322213-n; eng-30-05563266-n
					Hair					eng-30-01900150-n; eng-30-05254393-n; eng-30-05254795-n	n: hair:1; n: hair:3; pilus:2	noun.animal; noun.body	n: process:10; outgrowth:1; appendage:2 < n: body part:1 < n: part:16; piece:16 < n: thing:1 < n: physical entity:1	n: filament:2; filum:1 < n: structure:4; anatomical structure:1; complex body part:1; bodily structure:1; body structure:1 < n: body part:1 < n: part:16; piece:16 < n: thing:1 < n: physical entity:1 	n: body covering:1 < n: covering:5; natural covering:1; cover:35 < n: natural object:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	all		n: hair:1; n: hair:3; pilus:2	n: hair:1; n: hair:3; pilus:2		eng-30-01900150-n; eng-30-05254393-n; eng-30-05254795-n
					Head					eng-30-05290756-n; eng-30-05538625-n	n: head:18; n: head:19; caput:1	noun.body	n: body part:1	n: external body part:1 < n: body part:1				n: head:18; n: head:19; caput:1	n: head:18; n: head:19; caput:1		eng-30-05290756-n; eng-30-05538625-n
					Limb					eng-30-05560244-n	 n: limb:4	noun.body	n: extremity:2 < n: external body part:1 < n: body part:1					 n: limb:4	 n: limb:4		eng-30-05560244-n
					Sense_Organ					eng-30-05299178-n	n: sense organ:1; sensory receptor:1; receptor:1	noun.body	n: organ:4 < n: body part:1					n: sense organ:1; sensory receptor:1; receptor:1	n: sense organ:1; sensory receptor:1; receptor:1		eng-30-05299178-n
			Building_Part									noun.artifact				meronymy/holonymy					
				Room						eng-30-02735688-n; eng-30-04105893-n	n: area:1; n: room:2	noun.artifact	n: structure:2; construction:4 < n: artifact:1; artefact:1	n: area:1 <  n: structure:2; construction:4 < n: artifact:1; artefact:1  		n: area:1		n: area:1; n: room:2	n: area:1; n: room:2		eng-30-02735688-n; eng-30-04105893-n
			Plant_Part							eng-30-13086908-n	n: plant part:1; plant structure:1	noun.plant	n: natural object:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1					n: plant part:1; plant structure:1	n: plant part:1; plant structure:1		eng-30-13086908-n
				Tree_Part										има ли разлика с plant_part?							eng-30-13086908-n
					Branch					eng-30-13163250-n	n: branch:7	noun.plant	n: stalk:7; stem:10 < n: plant organ:1 < n: plant part:1; plant structure:1 < n: natural object:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1					n: branch:7	n: branch:7		eng-30-13163250-n
			Vehicle_Part									noun.artifact				meronymy/holonymy					eng-30-04576211-n
				Engine						eng-30-03287733-n	engine:1	noun.artifact	n: machine:4 < n: device:2					engine:1	n: motor:4		eng-30-03789946-n; eng-30-03287733-n
			Surface							eng-30-04362025-n; eng-30-08660339-n	n: surface:6; n: surface:9	noun.artifact	n: artifact:1; artefact:1	n: boundary:2; bound:16; bounds:1 < n: extremity:3 < n: region:3; part:15 < n: location:1 < n: object:1; physical object:1 < n: physical entity:1		n: surface:6;		n: surface:6; n: surface:9	n: surface:9		eng-30-04362025-n; eng-30-08660339-n
		Speech_Act_Part								eng-30-06284225-n	n: language unit:1; linguistic unit:1	noun.communication	n: part:18; portion:7; component part:1; component:3; constituent:6 < n: relation:1 < n: abstraction:1; abstract entity:1					n: language unit:1; linguistic unit:1	n: manner of speaking:1; speech:4; delivery:6 {noun.communication} < n: expressive style:1; style:11 {noun.communication} < n: communication:1 {noun.communication} < n: abstraction:1; abstract entity:1 {noun.Tops}		eng-30-06284225-n' eng-30-07071483-n
			Speech_Sound							eng-30-07111047-n	n: phone:4; speech sound:1; sound:20	noun.communication	n: language unit:1; linguistic unit:1					n: phone:4; speech sound:1; sound:20	n: phone:4; speech sound:1; sound:20		eng-30-07111047-n
			Word							eng-30-06286395-n	n: word:2	noun.communication	n: language unit:1; linguistic unit:1					n: word:2	n: word:2		eng-30-06286395-n
			undefined																		
		Document_Part								eng-30-06392001-n	n: section:5; subdivision:3	noun.communication	n: music:5 + n: writing:4; written material:1; piece of writing:1					n: section:5; subdivision:3	n: section:5; subdivision:3		eng-30-06392001-n
		Movie_Part														meronymy/holonymy					eng-30-06613686-n
		Recording_Part														meronymy/holonymy					eng-30-04063868-n
																					
	Property									eng-30-00024264-n; eng-30-05849040-n	n: attribute:1; n: property:3; attribute:4; dimension:5	noun.attribute; noun.cognition	n: abstraction:1; abstract entity:1	n: concept:1; conception:3; construct:7 < n: idea:2; thought:2 < n: content:5; cognitive content:1; mental object:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1				n: attribute:1; n: property:3; attribute:4; dimension:5	n: property:3; attribute:4; dimension:5		eng-30-00024264-n; eng-30-05849040-n; eng-30-05849040-n
		Cognitive_State								eng-30-14373582-n; eng-30-05669934-n	n: psychological state:1; psychological condition:1; mental state:1; mental condition:1; n: cognitive state:1; state of mind:1	noun.state; noun.cognition	n: psychological state:1; psychological condition:1; mental state:1; mental condition:1 < n: condition:11; status:1 < n: state:1 < n: attribute:1	n: cognitive state:1; state of mind:1 < n: psychological state:1; psychological condition:1; mental state:1; mental condition:1 < n: condition:11; status:1 < n: state:1 < n: attribute:1		both		n: psychological state:1; psychological condition:1; mental state:1; mental condition:1; n: cognitive state:1; state of mind:1	n: psychological state:1; psychological condition:1; mental state:1; mental condition:1; n: cognitive state:1; state of mind:1		eng-30-14373582-n; eng-30-05669934-n
